Exercise,Sets,Reps,Weight,Date,id
PauseSquat,3,7,185,05/31/25,1
Squat,1,3,255,05/31/25,2
Bench,3,7,185,06/03/25,3
Squat,1,3,225,06/05/25,4
Squat,1,3,245,06/05/25,5
Squat,1,3,275,06/05/25,6
Deadlift,1,3,315,06/06/25,7
Deadlift,1,3,275,06/06/25,8
Deadlift,1,4,365,06/06/25,9
Bench,1,3,175,06/08/25,10
Bench,1,3,195,06/08/25,11
Bench,1,6,215,06/08/25,12
InclineDBBench,3,10,80,06/08/25,13
Squat,1,5,225,06/09/25,14
Squat,1,3,265,06/09/25,15
Squat,1,2,285,06/09/25,16
RomanianDeadlift,1,6,225,06/09/25,17
RomanianDeadlift,1,6,245,06/09/25,18
RomanianDeadlift,1,6,265,06/09/25,19
OverheadPress,1,5,95,06/10/25,20
OverheadPress,1,3,115,06/10/25,21
OverheadPress,1,3,135,06/10/25,22
OverheadPress,1,14,95,06/10/25,23
Deadlift,1,5,295,06/13/25,24
Deadlift,1,3,335,06/13/25,25
Deadlift,1,3,375,06/13/25,26
PauseSquat,1,3,185,06/13/25,27
PauseSquat,1,3,225,06/13/25,28
PauseSquat,1,3,255,06/13/25,29
Squat,1,5,135,06/16/25,30
Squat,1,5,185,06/16/25,31
Squat,1,5,225,06/16/25,32
RomanianDeadlift,3,8,185,06/16/25,33
PauseSquat,3,4,225,06/19/25,34
PauseSquat,1,3,225,06/13/25,35
PauseSquat,1,3,185,06/13/25,36
Bench,1,5,185,06/20/25,37
Bench,1,2,215,06/20/25,38
Bench,1,2,235,06/20/25,39
Squat,1,5,205,06/25/25,40
Squat,1,5,235,06/25/25,41
Squat,1,5,265,06/25/25,42
OverheadPress,1,5,95,06/23/25,43
OverheadPress,1,5,115,06/23/25,44
OverheadPress,1,9,115,06/23/25,45
Bench,1,5,165,06/28/25,46
Bench,1,5,195,06/28/25,47
Bench,1,3,215,06/28/25,48
OverheadPress,1,3,95,07/01/25,49
OverheadPress,1,3,115,07/01/25,50
OverheadPress,1,4,125,07/01/25,51
Squat,1,3,215,07/06/25,52
Squat,1,3,245,07/06/25,53
Squat,1,4,275,07/06/25,54
Squat,1,7,225,07/06/25,55
Deadlift,1,3,275,06/30/25,56
Deadlift,1,5,315,06/30/25,57
Deadlift,1,6,345,06/30/25,58
Deadlift,1,3,275,07/03/25,59
Deadlift,1,3,335,07/03/25,60
Deadlift,1,4,365,07/03/25,61
Bench,1,3,185,07/01/25,62
Bench,1,3,205,07/01/25,63
Bench,1,3,225,07/01/25,64
Deadlift,1,3,315,07/09/25,65
Deadlift,1,2,355,07/09/25,66
Deadlift,1,3,395,07/09/25,67
Deadlift,2,3,315,07/13/25,68
Squat,1,5,225,07/13/25,69
Squat,1,3,255,07/13/25,70
Squat,1,3,275,07/13/25,71
OverheadPress,1,5,95,07/07/25,72
OverheadPress,1,3,115,07/07/25,73
OverheadPress,1,3,135,07/07/25,74
Deadlift,1,5,275,07/16/25,75
Deadlift,1,3,315,07/16/25,76
Deadlift,1,6,355,07/16/25,77
Bench,1,5,190,07/14/25,78
Bench,1,2,215,07/14/25,79
Bench,1,2,235,07/14/25,80
Bench,1,5,185,07/24/25,81
Bench,1,6,205,07/24/25,82
Bench,2,6,185,07/27/25,83
OverheadPress,1,5,95,07/21/25,84
